number,base_fee_per_gas
14687366,56465011017
14687367,52096550426
14687368,53951294853
14687369,48433665356
14687370,54481031686
14687371,51534524970
14687372,57751568895
14687373,59954913970
14687374,53573115875
14687375,60210303486
14687376,57292313854
14687377,55286558168
14687378,60887967963
14687379,65830701489
14687380,62664501488
14687381,70487795822
14687382,77321389473
14687383,71799535282
14687384,63720355022
14687385,59602954644
14687386,58094963885
14687387,55176308299
14687388,48994995418
14687389,47059838168
14687390,52938094710
14687391,54161757315
14687392,53160503630
14687393,51365960522
14687394,47995869388
14687395,52730484326
14687396,49135235976
14687397,48357980010
14687398,46035247500
14687399,44163668341
14687400,46762582670
14687401,52286983641
14687402,53766221623
14687403,47045443921
14687404,41510098944
14687405,42016805111
14687406,37748922209
14687407,34624314543
14687408,33456831420
14687409,31541024872
14687410,31596983121
14687411,31088695661
14687412,27486151369
14687413,30917185061
14687414,34781234429
14687415,39128774534
14687416,41363075280
14687417,37926061449
14687418,38448291305
14687419,43253050594
14687420,44589600855
14687421,43666964078
14687422,46767059151
14687423,44145485998
14687424,41318967937
14687425,39472801506
14687426,37870965617
14687427,33320843894
14687428,37484929762
14687429,38654433018
14687430,33822628891
14687431,36168122568
14687432,37425097193
14687433,40453171263
14687434,44729895361
14687435,44904896603
14687436,40047909623
14687437,37427209126
14687438,39514064848
14687439,39861829779
14687440,38218880949
14687441,35902211225
14687442,32927586719
14687443,28811638380
14687444,32412507821
14687445,30294323034
14687446,30727353369
14687447,34565478399
14687448,35130674379
14687449,32205044515
14687450,35650569101
14687451,34958004806
14687452,38352893179
14687453,36292619544
14687454,33396313656
14687455,36087839843
14687456,34922036312
14687457,32213356002
14687458,31134943309
14687459,29776924231
14687460,33497618904
14687461,37683855977
14687462,42389530126
14687463,41934444962
14687464,42170050724
14687465,47437260496
14687466,48706609245
14687467,51732083611
14687468,52267729313
14687469,54876260542
14687470,51080015500
14687471,45533918536
14687472,50590230885
14687473,56905816228
14687474,51305689246
14687475,53154320000
14687476,57966004482
14687477,50720253922
14687478,54986163583
14687479,52330817244
14687480,49974753553
14687481,47295950013
14687482,42315815279
14687483,44534444214
14687484,47136046357
14687485,43774017255
14687486,44644407776
14687487,39698649686
14687488,36178247318
14687489,40696668619
14687490,45777935365
14687491,42973293755
14687492,38375294166
14687493,43168331619
14687494,48558584557
14687495,51987781300
14687496,52629079175
14687497,47186115337
14687498,49328053151
14687499,43844955174
14687500,45553791110
14687501,42777997978
14687502,38277055771
14687503,35546883741
14687504,39990075030
14687505,44985062967
14687506,44122783078
14687507,43900659729
14687508,45015908634
14687509,40353553535
14687510,35873947846
14687511,39232335159
14687512,35963328515
14687513,33510132018
14687514,31660660080
14687515,29887340969
14687516,28859316812
14687517,32465866478
14687518,31362208806
14687519,35280768609
14687520,39685578319
14687521,43801410654
14687522,45902569188
14687523,47849782471
14687524,41868559663
14687525,45221523428
14687526,41428119704
14687527,36754834850
14687528,33613376352
14687529,37813869094
14687530,42534469939
14687531,47603014771
14687532,43022424592
14687533,48399840105
14687534,50345138981
14687535,55120503793
14687536,51935811255
14687537,57063135684
14687538,53031860306
14687539,50764163195
14687540,57104215174
14687541,50678828560
14687542,57005696165
14687543,56640750487
14687544,62990977251
14687545,58117552215
14687546,62889389047
14687547,60530151684
14687548,63470188936
14687549,57400011668
14687550,59563731414
14687551,53456396974
14687552,47731814234
14687553,46490716560
14687554,52296360136
14687555,50842953820
14687556,47289361828
14687557,53192657003
14687558,57188408727
14687559,53160660554
14687560,47447657137
14687561,49309703274
14687562,45716084010
14687563,48799027376
14687564,54897706561
14687565,55986500566
14687566,54194387147
14687567,54232607450
14687568,49146815884
14687569,45985847128
14687570,46510737741
14687571,49750787760
14687572,43982909710
14687573,44661090146
14687574,41270412051
14687575,42502701337
14687576,43253109672
14687577,40388831207
14687578,36682665893
14687579,38702196132
14687580,43171925218
14687581,46197785417
14687582,46077608374
14687583,40849852842
14687584,38053091405
14687585,38336596944
14687586,35431633005
14687587,31954653847
14687588,35947303788
14687589,35862652582
14687590,32552757776
14687591,31671491959
14687592,35627936112
14687593,36088743814
14687594,33538407024
14687595,37715115896
14687596,33717410211
14687597,35579838568
14687598,31370506467
14687599,33763991876
14687600,37475222380
14687601,35105032137
14687602,31647324250
14687603,34055835100
14687604,38135475773
14687605,34235470306
14687606,34658807872
14687607,35299832632
14687608,37288162774
14687609,36508025737
14687610,34517576697
14687611,38829493393
14687612,35080136104
14687613,32999659722
14687614,28959908956
14687615,32577290001
14687616,36644252638
14687617,35865831605
14687618,31382602655
14687619,32272746218
14687620,30278369521
14687621,29449264353
14687622,33129922737
14687623,30110268500
14687624,31242684835
14687625,35146157597
14687626,39538360902
14687627,34596065790
14687628,38915942375
14687629,43780300263
14687630,42775916193
14687631,41876940769
14687632,44988480637
14687633,39899974841
14687634,44881323442
14687635,50485730224
14687636,48915005144
14687637,47162154261
14687638,41817564441
14687639,37501414360
14687640,42186924823
14687641,45966473214
14687642,40739583792
14687643,36739580319
14687644,34749154273
14687645,35546194051
14687646,31887043499
14687647,35711989012
14687648,37323862609
14687649,35226940495
14687650,31206577179
14687651,31287698204
14687652,35198098343
14687653,39596815100
14687654,44542601174
14687655,41333316411
14687656,37545816519
14687657,42238191194
14687658,47050874014
14687659,43513735926
14687660,40402973039
14687661,42771070129
14687662,38185350955
14687663,33412182086
14687664,34778487210
14687665,39120750590
14687666,38865273013
14687667,36060801033
14687668,35799104346
14687669,32003464919
14687670,32859491959
14687671,30007405046
14687672,33754913401
14687673,37973655594
14687674,42719142632
14687675,37921668219
14687676,36384628758
14687677,34263221394
14687678,32488509812
14687679,36547908491
14687680,37651944055
14687681,34847072835
14687682,34670430233
14687683,32827873686
14687684,32633888036
14687685,30078508295
14687686,33837760914
14687687,34800978555
14687688,33290288864
14687689,37449839221
14687690,42033104374
14687691,41047031962
14687692,37988409894
14687693,42731946977
14687694,45184128656
14687695,50824861809
14687696,44471754083
14687697,44359741224
14687698,39153123431
14687699,44042685228
14687700,49508286039
14687701,43319750285
14687702,44762688569
14687703,39646844547
14687704,38996739433
14687705,38180666939
14687706,33408083572
14687707,35649958855
14687708,33882147181
14687709,31303732571
14687710,35214358657
14687711,37211630879
14687712,41859915862
14687713,36627426380
14687714,32903352402
14687715,33690838446
14687716,34786129852
14687717,31043789586
14687718,32184306208
14687719,29287098223
14687720,32945530753
14687721,30160660823
14687722,33925976528
14687723,38163693438
14687724,42931837627
14687725,41443073607
14687726,41156640840
14687727,45242729418
14687728,45811200050
14687729,51529958366
14687730,57965817851
14687731,53359836498
14687732,49938444247
14687733,56175432780
14687734,63196442397
14687735,67518396580
14687736,64759320267
14687737,58395748628
14687738,51561902351
14687739,54686753233
14687740,48495314295
14687741,54521942178
14687742,56438450296
14687743,57068715205
14687744,51109986143
14687745,57498454157
14687746,64678808472
14687747,63680196236
14687748,59273586092
14687749,65387275195
14687750,64041026395
14687751,66237958074
14687752,58667693052
14687753,53988392077
14687754,49060421179
14687755,50328319079
14687756,51446367720
14687757,51319767641
14687758,46901480374
14687759,48740957215
14687760,52360644908
14687761,58903261078
14687762,57906582068
14687763,54745754182
14687764,49807392154
14687765,46078837182
