height,basefee
14800977,33132510773
14800978,29474489416
14800979,30591410375
14800980,27619217606
14800981,28512180514
14800982,31543897300
14800983,32597074629
14800984,28522440301
14800985,26183093526
14800986,29375093876
14800987,28331155481
14800988,31866901392
14800989,29489371630
14800990,25803200177
14800991,23535569028
14800992,25260026642
14800993,25094280423
14800994,24121868274
14800995,24287491956
14800996,22983573219
14800997,22879882063
14800998,20019896806
14800999,19811440966
14801000,22285031116
14801001,22008612048
14801002,19837640190
14801003,22315054715
14801004,21520646950
14801005,24207588331
14801006,21705416675
14801007,19661860016
14801008,19854095613
14801009,19521291405
14801010,17371536184
14801011,18067034774
14801012,20322519480
14801013,21500779930
14801014,19694869043
14801015,19016287822
14801016,18704552859
14801017,16721455016
14801018,16134993658
14801019,17291629385
14801020,17730112068
14801021,18189579274
14801022,20462238357
14801023,23017350557
14801024,24902511382
14801025,22716555687
14801026,19876986227
14801027,18717063868
14801028,21055189192
14801029,23686532685
14801030,26643607487
14801031,28551620390
14801032,27791536997
14801033,25423989892
14801034,25357074736
14801035,28522953061
14801036,27277356890
14801037,24902949466
14801038,22871270737
14801039,25727302563
14801040,28057275352
14801041,31151470724
14801042,32413750902
14801043,29399139282
14801044,26227878852
14801045,26169596572
14801046,22898397001
14801047,22113852123
14801048,22616227981
14801049,23930804148
14801050,22733981956
14801051,21456139171
14801052,23956493167
14801053,21946347128
14801054,20411454054
14801055,22960546998
14801056,22910161963
14801057,21263797542
14801058,19175113777
14801059,18700355419
14801060,16724617297
14801061,16529341360
14801062,17814175049
14801063,20038360607
14801064,18258172738
14801065,19359213850
14801066,17316640151
14801067,19481098231
14801068,21658643279
14801069,19834975598
14801070,21514990508
14801071,19577358418
14801072,22023958354
14801073,23037950022
14801074,23008661301
14801075,21599406490
14801076,24297083623
14801077,27300003315
14801078,30439417881
14801079,26998533995
14801080,25734785716
14801081,24049234671
14801082,23956706209
14801083,20962117933
14801084,20761111055
14801085,21304857868
14801086,22163349663
14801087,24931995992
14801088,25577293668
14801089,25246782051
14801090,24417024427
14801091,22555360923
14801092,21346600543
14801093,22028059982
14801094,19633421726
14801095,19249426356
14801096,20496048001
14801097,18150445830
14801098,17552799840
14801099,19629249318
14801100,19305800020
14801101,18383468652
14801102,18513706948
14801103,16819531974
14801104,16029746386
14801105,14026028088
14801106,14961455848
14801107,16830207338
14801108,16977728749
14801109,17795620584
14801110,15927567225
14801111,14799088030
14801112,13147512802
14801113,14788683024
14801114,14921501115
14801115,16774438256
14801116,15291524183
14801117,14910215119
14801118,14643125081
14801119,16470976964
14801120,16474869784
14801121,18532428762
14801122,20847150206
14801123,19836867846
14801124,18671428321
14801125,17239288649
14801126,16802656844
14801127,14887454047
14801128,16748372045
14801129,18820898506
14801130,17996332299
14801131,20243714876
